index,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
799,2rGgjcjiq1JKRISnDuqlTA,41,It Goes Like This,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,0,0.542,0.836,11,-6.45,1,0.0597,0.11900000000000001,0.0,0.0872,0.526,168.046,187813,4,80,contemporary country,country
800,3rh2f6nqswpfDN3Ef6Bi5J,60,Ready Set Roll,Chase Rice,6pBNfggcZZDCmb0p92OnGn,0,0.513,0.8029999999999999,0,-4.45,1,0.0777,0.0161,0.0,0.667,0.746,156.03799999999998,190587,4,73,contemporary country,country
801,6p5GuyEqQH5pv02ouEyogQ,3,My Girl,Dylan Scott,78YqeIji3mgAS2K1Maca6x,0,0.652,0.7190000000000001,1,-7.251,1,0.033,0.0353,0.0,0.10800000000000001,0.24,94.969,197640,4,68,contemporary country,country
802,3BsZyZzt5996LuzGtnmZwR,0,Creepin',Eric Church,2IvkS5MXK0vPGnwyJsrEyV,0,0.46399999999999997,0.889,5,-5.042,1,0.0497,0.0389,0.0272,0.31,0.539,87.85799999999999,232720,4,77,contemporary country,country
805,1eFrhAmzoQnTlwvnqvLt7D,65,Five More Minutes,Scotty McCreery,6ZV6lGY0prbqpTD0Md8i29,0,0.496,0.632,7,-4.933,1,0.0282,0.257,1.07e-06,0.109,0.278,156.034,241147,4,67,contemporary country,country
807,72DLRfzcAJzzn2svqdyp01,0,I Don't Want This Night to End,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,0.616,0.728,9,-4.02,0,0.0278,0.0275,0.0,0.228,0.375,111.934,219973,4,81,contemporary country,country
808,7nfmK6oHPDlAd68A11d7AN,41,Beer Never Broke My Heart,Luke Combs,718COspgdWOnwOFpJHRZHS,0,0.54,0.863,1,-4.4830000000000005,1,0.0481,0.0138,0.0,0.0871,0.64,77.0,186800,4,86,contemporary country,country
810,2KklDCzQYLA5YtOL3lbQbH,0,Dirt,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,0,0.545,0.875,2,-4.1739999999999995,1,0.0464,0.0632,1.17e-05,0.11800000000000001,0.605,121.959,230587,4,84,contemporary country,country
811,7oizkVPKiJYU5CyTjrcVp0,54,The One That Got Away,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,0,0.5760000000000001,0.865,0,-3.2880000000000003,1,0.0407,0.0343,5.3200000000000006e-05,0.252,0.535,119.913,194173,4,72,contemporary country,country
812,7dJhNUBT6PBq0XFQ5inG2t,32,Somethin' 'Bout a Truck,Kip Moore,2hJPr4lk7Q8SSvCVBl9fWM,0,0.657,0.785,11,-5.4670000000000005,1,0.0271,0.0662,0.0,0.386,0.785,88.046,214640,4,68,contemporary country,country
814,6VGato3JkGNUmLTbSPNG0e,0,Drunk On You,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,0.5579999999999999,0.872,9,-4.401,1,0.0449,0.17800000000000002,0.0,0.17300000000000001,0.47200000000000003,143.971,213547,4,81,contemporary country,country
815,4NVgo2Ggjccffni3JlUxWQ,31,All Your Life,The Band Perry,75FnCoo4FBxH5K1Rrx0k5A,0,0.536,0.521,9,-5.372999999999999,1,0.0261,0.22699999999999998,0.0,0.165,0.455,131.937,231933,4,64,contemporary country,country
816,0NSwXfEWMG7HIRvXioGu03,64,Here And Now,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,0,0.52,0.841,9,-3.048,1,0.0524,0.0477,0.0,0.25,0.705,147.963,171493,4,77,contemporary country,country
820,6U4S5Fcy4sNgYnKPh6LLdh,70,These Days,MacKenzie Porter,6nXco5Q3cJJ0ZutnBOsSpq,0,0.46299999999999997,0.778,9,-3.013,1,0.0489,0.413,0.0,0.16,0.424,175.888,172755,4,61,alberta country,country
821,7oSq5fbsFkTS9zeJQwMihf,74,This Bar,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,0,0.545,0.884,2,-5.207999999999999,1,0.0817,0.115,0.000424,0.0496,0.272,110.015,185733,4,82,contemporary country,country
