track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
1dgWTMoHwTUnQhOQ8SR5fV,68,American Kids,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,0,0.733,0.589,7,-7.37,1,0.1,0.0476,5.85e-06,0.0366,0.867,170.097,182960,4,77,contemporary country,country
6DEaND0SHv3sC11xobZLiy,68,Take Your Time,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,0,0.5579999999999999,0.7190000000000001,11,-5.603,1,0.0419,0.101,0.0,0.212,0.483,158.031,243707,4,78,contemporary country,country
2TR7A4ulH9R1PNwMyd8o8U,67,This Is How We Roll,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,1,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,220907,4,84,contemporary country,country
3un2KQUaQ2brEpd8dK93wI,60,Beat of the Music,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.629,0.8079999999999999,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,179293,4,69,adult standards,country
1jNNHFZmRGXZFHlil5uhei,62,Drunk on Your Love,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.443,0.831,11,-5.606,1,0.0616,0.414,0.0,0.204,0.588,182.064,173960,4,69,adult standards,country
7B6m8tHAYZsOKOKMU5SR2n,64,Take A Back Road,Rodney Atkins,2qgvmDsc4jrqbAbjq1HGM2,0,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.90200000000004,209427,4,69,contemporary country,country
3Qe097eJNp9MfpT2PieEw0,59,Don't Ya,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.537,0.693,9,-5.256,1,0.0847,0.0566,0.0,0.146,0.581,176.00400000000005,181210,4,69,adult standards,country
2yWtLaPCOUDyi7f1lOXCn5,56,Anywhere With You,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,0,0.475,0.936,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,209587,4,72,contemporary country,country
0ADmzFBX4aO3kFymfXpZeE,67,Ruin That For Me,Avenue Beat,1htYtUdXVMwR6HCSs821Lc,0,0.695,0.718,6,-3.492,1,0.0271,0.28,0.0,0.0871,0.895,114.963,163053,4,57,country pop,country
0Kt2cOpCmKN2D9mG8Fw2ce,68,Other Girl,Filmore,0FvJm0y2eHw0aPkLLU3sIG,0,0.428,0.664,0,-5.8420000000000005,1,0.039,0.28,0.0,0.174,0.623,166.222,195646,4,65,contemporary country,country
